cmpl,uwi,reservoir,string,allowable,tr,qo,wc,pi,bhfp,freq,inactive,cats,rm
SY00011,SY - 0001 - TB,SIMSIMA R2,TB,90.0,90.0,75.7,95.679,,1061.0,50.0,N,S2,"High water cut ,WO for production enhancement (squeeze perfos and new perforations)"
SY00041,SY - 0004 - TB,SIMSIMA R1,TB,980.0,1000.0,1014.24,50.029,,739.2480838015999,50.0,N,S1;C1,Test the well to check the well potential
SY00111,SY - 0011 - TB,SIMSIMA R2,TB,120.0,120.0,163.78,87.225,,1444.0,,N,S2,High water cut
SY00121,SY - 0012 - TB,SIMSIMA R1,TB,1300.0,1500.0,1193.0,57.9,,1127.5148994607998,50.0,N,,MRT required to check well potential
SY00141,SY - 0014 - TB,SIMSIMA R1,TB,650.0,670.0,599.7,38.876,,573.0,50.0,N,S1;C1,"Low PIP, Low DP across choke"
SY00151,SY - 0015 - TB,SIMSIMA R2,TB,300.0,340.0,316.36,86.656,,966.8804012287999,50.0,N,S2;C1,"High water cut , Low DP across choke"
SY00191,SY - 0019 - TB,SIMSIMA R1,TB,500.0,530.0,432.0,40.984,,690.0,,N,,Well Equipped with PWS-VSD
SY00201,SY - 0020 - TB,SIMSIMA R2,TB,0.0,0.0,456.27,90.362,,857.7414122419999,,Y,S4;S2;C1,"High water cut , Low DP across choke"
SY00211,SY - 0021 - TB,SIMSIMA R1,TB,300.0,300.0,100.2,76.565,,672.4611762,50.0,N,S1;S2,Low PIP. Test the well to check the well potential
SY00221,SY - 0022 - TB,SIMSIMA R1,TB,300.0,400.0,443.24,49.022,,506.0,50.0,N,S1;C1,Test the well to check the well potential
SY00241,SY - 0024 - TB,SIMSIMA R1,TB,470.0,470.0,,,,1350.4342165612002,,N,S2;S5,"High water cut , propose to reduce it to improve sector VRR in case SY-175 and SY-180 start injection in Q2-26"
SY00251,SY - 0025 - TB,SIMSIMA R2,TB,0.0,270.0,272.84,94.005,,1239.0,50.0,N,S2,High water cut.Meanwhile shut-in them in case required for water mangement
SY00261,SY - 0026 - TB,SIMSIMA R2,TB,770.0,800.0,752.32,76.156,,1370.0,50.0,N,S2,Well Equipped with PWS-VSD
SY00271,SY - 0027 - TB,SIMSIMA R1,TB,850.0,850.0,820.94,37.753,,629.0,50.0,N,S1,Test the well to check the well potential
SY00321,SY - 0032 - TB,SIMSIMA R1,TB,0.0,0.0,51.74,95.517,,,,Disconnected,S2,Test the well to check the well potential
SY00341,SY - 0034 - TB,SIMSIMA R2,TB,0.0,0.0,,62.318,,1215.0,,N,S2,ESP failed - WO requires and be available by Jul.
